物品数量,背包容量,算法名称,选择物品数量,总重量,总价值,执行时间(ms),占用空间(MB),选择的物品编号(前50个),是否找到解
10,10000,蛮力法,10,438.15,5021.40,0.093,0.00,1;2;3;4;5;6;7;8;9;10,是
10,10000,动态规划法,10,438.15,5021.40,0.124,0.05,1;2;3;4;5;6;7;8;9;10,是
10,10000,贪心法,10,438.15,5021.40,0.009,0.00,1;2;3;4;5;6;7;8;9;10,是
10,10000,回溯法,10,438.15,5021.40,0.010,0.00,1;2;3;4;5;6;7;8;9;10,是
10,100000,蛮力法,10,438.15,5021.40,0.101,0.00,1;2;3;4;5;6;7;8;9;10,是
10,100000,动态规划法,10,438.15,5021.40,0.091,0.05,1;2;3;4;5;6;7;8;9;10,是
10,100000,贪心法,10,438.15,5021.40,0.007,0.00,1;2;3;4;5;6;7;8;9;10,是
10,100000,回溯法,10,438.15,5021.40,0.008,0.00,1;2;3;4;5;6;7;8;9;10,是
10,1000000,蛮力法,10,438.15,5021.40,0.099,0.00,1;2;3;4;5;6;7;8;9;10,是
10,1000000,动态规划法,10,438.15,5021.40,0.988,0.53,1;2;3;4;5;6;7;8;9;10,是
10,1000000,贪心法,10,438.15,5021.40,0.009,0.00,1;2;3;4;5;6;7;8;9;10,是
10,1000000,回溯法,10,438.15,5021.40,0.032,0.00,1;2;3;4;5;6;7;8;9;10,是
20,10000,蛮力法,20,884.31,10720.92,115.694,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,10000,动态规划法,20,884.31,10720.92,0.257,0.09,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,10000,贪心法,20,884.31,10720.92,0.010,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,10000,回溯法,20,884.31,10720.92,0.013,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,100000,蛮力法,20,884.31,10720.92,140.616,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,100000,动态规划法,20,884.31,10720.92,0.276,0.09,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,100000,贪心法,20,884.31,10720.92,0.011,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,100000,回溯法,20,884.31,10720.92,0.025,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,1000000,蛮力法,20,884.31,10720.92,110.950,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,1000000,动态规划法,20,884.31,10720.92,1.461,0.92,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,1000000,贪心法,20,884.31,10720.92,0.010,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
20,1000000,回溯法,20,884.31,10720.92,0.012,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,是
30,10000,蛮力法,0,0,0,0,0,,跳过
30,10000,动态规划法,30,1353.64,17191.41,0.307,0.13,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,10000,贪心法,30,1353.64,17191.41,0.009,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,10000,回溯法,30,1353.64,17191.41,0.018,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,100000,蛮力法,0,0,0,0,0,,跳过
30,100000,动态规划法,30,1353.64,17191.41,0.168,0.13,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,100000,贪心法,30,1353.64,17191.41,0.008,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,100000,回溯法,30,1353.64,17191.41,0.010,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,1000000,蛮力法,0,0,0,0,0,,跳过
30,1000000,动态规划法,30,1353.64,17191.41,2.340,1.30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,1000000,贪心法,30,1353.64,17191.41,0.008,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
30,1000000,回溯法,30,1353.64,17191.41,0.011,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,是
40,10000,蛮力法,0,0,0,0,0,,跳过
40,10000,动态规划法,40,1769.00,22656.77,0.236,0.17,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,10000,贪心法,40,1769.00,22656.77,0.011,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,10000,回溯法,40,1769.00,22656.77,0.027,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,100000,蛮力法,0,0,0,0,0,,跳过
40,100000,动态规划法,40,1769.00,22656.77,0.392,0.17,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,100000,贪心法,40,1769.00,22656.77,0.013,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,100000,回溯法,40,1769.00,22656.77,0.016,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,1000000,蛮力法,0,0,0,0,0,,跳过
40,1000000,动态规划法,40,1769.00,22656.77,3.049,1.68,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,1000000,贪心法,40,1769.00,22656.77,0.010,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
40,1000000,回溯法,40,1769.00,22656.77,0.028,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,是
50,10000,蛮力法,0,0,0,0,0,,跳过
50,10000,动态规划法,50,2269.52,27557.87,0.326,0.21,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,10000,贪心法,50,2269.52,27557.87,0.013,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,10000,回溯法,50,2269.52,27557.87,0.029,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,100000,蛮力法,0,0,0,0,0,,跳过
50,100000,动态规划法,50,2269.52,27557.87,0.274,0.21,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,100000,贪心法,50,2269.52,27557.87,0.015,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,100000,回溯法,50,2269.52,27557.87,0.024,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,1000000,蛮力法,0,0,0,0,0,,跳过
50,1000000,动态规划法,50,2269.52,27557.87,4.108,2.06,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,1000000,贪心法,50,2269.52,27557.87,0.012,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
50,1000000,回溯法,50,2269.52,27557.87,0.046,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,10000,蛮力法,0,0,0,0,0,,跳过
60,10000,动态规划法,60,2871.77,33118.78,0.351,0.24,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,10000,贪心法,60,2871.77,33118.78,0.012,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,10000,回溯法,60,2871.77,33118.78,0.038,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,100000,蛮力法,0,0,0,0,0,,跳过
60,100000,动态规划法,60,2871.77,33118.78,0.327,0.24,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,100000,贪心法,60,2871.77,33118.78,0.015,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,100000,回溯法,60,2871.77,33118.78,0.029,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,1000000,蛮力法,0,0,0,0,0,,跳过
60,1000000,动态规划法,60,2871.77,33118.78,4.485,2.44,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,1000000,贪心法,60,2871.77,33118.78,0.015,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
60,1000000,回溯法,60,2871.77,33118.78,0.031,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,10000,蛮力法,0,0,0,0,0,,跳过
70,10000,动态规划法,70,3384.45,40428.54,0.421,0.28,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,10000,贪心法,70,3384.45,40428.54,0.021,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,10000,回溯法,70,3384.45,40428.54,0.045,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,100000,蛮力法,0,0,0,0,0,,跳过
70,100000,动态规划法,70,3384.45,40428.54,0.444,0.28,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,100000,贪心法,70,3384.45,40428.54,0.159,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,100000,回溯法,70,3384.45,40428.54,0.037,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,1000000,蛮力法,0,0,0,0,0,,跳过
70,1000000,动态规划法,70,3384.45,40428.54,5.067,2.82,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
